epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9065,2.82338,4.96318,2.07881,0.003,0.9,0.00922,0.00214,1.90607,4.17998,1.27222,2e-05,2e-05,2e-05
2,44.2086,2.19926,4.70628,1.65008,0.00283,0.85,0.03389,0.00684,1.80179,4.09842,1.18154,5.802e-05,5.802e-05,5.802e-05
3,65.7289,1.98451,4.17535,1.40254,0.003,0.9,0.16757,0.05634,1.69993,4.00296,1.1302,9.34e-05,9.34e-05,9.34e-05
